date_time,latitude,longitude,Depth  (km),mag,Location
2023-12-11 19:21:00,8.57,127.59,51,3.1,139  km N 81° E of Hinatuan (Surigao Del Sur)
2023-12-11 19:21:00,8.71,126.09,28,2.1,009  km N 05° W of Lianga (Surigao Del Sur)
2023-12-11 19:14:00,5.69,124.7,23,3.0,034  km S 14° E of Kiamba (Sarangani)
2023-12-11 19:10:00,8.31,126.26,25,2.9,010  km S 56° W of Hinatuan (Surigao Del Sur)
2023-12-11 19:04:00,9.35,126.52,10,2.3,036  km N 77° E of Cortes (Surigao Del Sur)
2023-12-11 18:55:00,8.55,126.98,1,4.1,074  km N 74° E of Hinatuan (Surigao Del Sur)
2023-12-11 18:50:00,9.11,126.94,22,3.1,073  km N 74° E of Cagwait (Surigao Del Sur)
2023-12-11 18:44:00,8.42,126.66,32,2.0,036  km N 80° E of Hinatuan (Surigao Del Sur)
2023-12-11 18:37:00,7.96,126.59,25,1.8,021  km S 65° E of Lingig (Surigao Del Sur)
2023-12-11 18:21:00,8.16,126.81,21,2.5,046  km N 73° E of Lingig (Surigao Del Sur)
2023-12-11 17:49:00,8.38,126.72,33,1.8,042  km N 88° E of Hinatuan (Surigao Del Sur)
2023-12-11 17:42:00,9.58,126.04,39,1.7,009  km S 65° E of Socorro (Surigao Del Norte)
2023-12-11 17:23:00,8.4,127.01,6,2.8,074  km N 87° E of Hinatuan (Surigao Del Sur)
2023-12-11 17:08:00,8.6,127.03,1,2.3,081  km N 72° E of Hinatuan (Surigao Del Sur)
2023-12-11 16:53:00,8.78,127.33,29,3.1,114  km S 82° E of Cagwait (Surigao Del Sur)
2023-12-11 16:36:00,10.05,122.96,11,1.8,017  km S 10° W of Isabela (Negros Occidental)
2023-12-11 16:33:00,8.69,126.86,21,2.9,063  km S 79° E of Marihatag (Surigao Del Sur)
2023-12-11 16:28:00,16.42,120.9,26,1.7,007  km N 09° E of Kayapa (Nueva Vizcaya)
2023-12-11 16:22:00,10.1,122.87,12,2.2,003  km S 07° W of City Of Himamaylan (Negros Occidental)
2023-12-11 16:03:00,7.83,126.88,14,3.8,045  km N 51° E of Baganga (Davao Oriental)
2023-12-11 15:51:00,8.65,126.88,2,2.6,066  km S 75° E of Marihatag (Surigao Del Sur)
2023-12-11 15:33:00,8.39,126.54,2,2.3,023  km N 82° E of Hinatuan (Surigao Del Sur)
2023-12-11 15:31:00,9.55,126.64,29,2.2,058  km N 58° E of Cortes (Surigao Del Sur)
2023-12-11 15:15:00,8.85,127.24,11,2.8,103  km S 86° E of Cagwait (Surigao Del Sur)
2023-12-11 15:07:00,6.61,126.89,28,2.6,069  km S 45° E of Tarragona (Davao Oriental)
2023-12-11 14:29:00,14.68,120.1,33,1.7,017  km N 88° W of Morong (Bataan)
2023-12-11 14:22:00,9.34,126.66,10,2.8,051  km N 82° E of Cortes (Surigao Del Sur)
2023-12-11 14:13:00,8.43,126.68,9,2.2,039  km N 80° E of Hinatuan (Surigao Del Sur)
2023-12-11 13:54:00,9.48,126.88,11,3.0,086  km S 67° E of General Luna (Surigao Del Norte)
2023-12-11 13:49:00,8.61,127.02,4,2.5,080  km N 71° E of Hinatuan (Surigao Del Sur)
2023-12-11 13:42:00,9.19,126.94,1,2.0,075  km N 67° E of Cagwait (Surigao Del Sur)
2023-12-11 13:39:00,8.5,126.93,6,2.9,067  km N 77° E of Hinatuan (Surigao Del Sur)
2023-12-11 12:59:00,9.35,126.71,14,3.0,057  km N 82° E of Cortes (Surigao Del Sur)
2023-12-11 12:49:00,9.28,126.3,17,2.3,012  km N 89° E of Cortes (Surigao Del Sur)
2023-12-11 12:48:00,8.53,126.32,29,1.6,018  km N 06° W of Hinatuan (Surigao Del Sur)
2023-12-11 12:45:00,8.84,126.96,18,3.0,073  km S 83° E of Cagwait (Surigao Del Sur)
2023-12-11 12:43:00,8.19,126.74,11,1.7,040  km N 65° E of Lingig (Surigao Del Sur)
2023-12-11 12:33:00,2.66,128.01,150,4.8,418  km S 43° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
2023-12-11 12:29:00,9.35,126.74,8,3.3,061  km N 82° E of Cortes (Surigao Del Sur)
2023-12-11 12:28:00,9.37,126.83,5,2.3,070  km N 82° E of Cortes (Surigao Del Sur)
2023-12-11 12:10:00,8.65,125.7,15,3.1,007  km S 59° E of Esperanza (Agusan Del Sur)
2023-12-11 12:04:00,5.45,126.75,35,2.9,133  km S 67° E of Jose Abad Santos (Davao Occidental)
2023-12-11 11:56:00,8.44,127.6,53,1.6,139  km N 87° E of Hinatuan (Surigao Del Sur)
