date_time,latitude,longitude,Depth  (km),mag,Location,Cluster
2023-12-08 03:40:00,8.49,126.73,9,2.4,045  km N 73° E of Hinatuan (Surigao Del Sur),0
2023-12-08 02:37:00,8.5,127.0,1,3.5,074  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-08 02:00:00,8.42,126.71,1,2.5,041  km N 81° E of Hinatuan (Surigao Del Sur),0
2023-12-08 01:28:00,8.5,126.79,7,1.6,052  km N 73° E of Hinatuan (Surigao Del Sur),0
2023-12-07 23:46:00,8.42,126.78,4,3.2,049  km N 83° E of Hinatuan (Surigao Del Sur),0
2023-12-07 23:23:00,8.44,126.67,30,1.7,038  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-07 23:08:00,8.51,127.0,2,4.5,074  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-07 22:44:00,8.52,126.8,18,4.1,054  km N 71° E of Hinatuan (Surigao Del Sur),0
2023-12-07 22:24:00,8.57,126.75,11,3.2,051  km N 64° E of Hinatuan (Surigao Del Sur),0
2023-12-07 21:12:00,8.41,126.67,15,2.7,037  km N 83° E of Hinatuan (Surigao Del Sur),0
2023-12-07 20:29:00,8.54,126.73,13,3.3,048  km N 66° E of Hinatuan (Surigao Del Sur),0
2023-12-07 20:27:00,8.42,126.82,19,2.3,053  km N 84° E of Hinatuan (Surigao Del Sur),0
2023-12-07 20:14:00,8.52,127.01,1,4.0,076  km N 78° E of Hinatuan (Surigao Del Sur),0
2023-12-07 19:54:00,8.48,126.79,6,2.5,052  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-07 18:38:00,8.39,126.72,3,2.5,042  km N 86° E of Hinatuan (Surigao Del Sur),0
2023-12-07 17:07:00,8.5,126.91,1,2.7,065  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-07 16:32:00,8.51,126.99,15,2.8,073  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-07 15:57:00,8.45,126.62,19,2.4,032  km N 74° E of Hinatuan (Surigao Del Sur),0
2023-12-07 15:52:00,8.47,126.69,8,1.8,041  km N 74° E of Hinatuan (Surigao Del Sur),0
2023-12-07 15:19:00,8.5,126.81,5,1.9,054  km N 74° E of Hinatuan (Surigao Del Sur),0
2023-12-07 13:55:00,8.48,126.97,1,2.3,071  km N 80° E of Hinatuan (Surigao Del Sur),0
2023-12-07 13:14:00,8.49,126.9,3,2.3,063  km N 78° E of Hinatuan (Surigao Del Sur),0
2023-12-07 12:06:00,8.37,126.82,2,3.0,053  km East of Hinatuan (Surigao Del Sur),0
2023-12-07 11:08:00,8.45,126.72,1,2.3,044  km N 78° E of Hinatuan (Surigao Del Sur),0
2023-12-07 10:15:00,8.4,126.83,10,2.5,055  km N 86° E of Hinatuan (Surigao Del Sur),0
2023-12-07 08:28:00,8.47,126.64,32,1.9,036  km N 71° E of Hinatuan (Surigao Del Sur),0
2023-12-07 07:33:00,8.46,126.9,1,4.7,063  km N 81° E of Hinatuan (Surigao Del Sur),0
2023-12-07 07:29:00,8.31,126.89,14,3.1,061  km S 84° E of Hinatuan (Surigao Del Sur),0
2023-12-07 06:36:00,8.37,126.87,16,3.8,059  km East of Hinatuan (Surigao Del Sur),0
2023-12-07 05:19:00,8.41,126.89,10,1.8,061  km N 85° E of Hinatuan (Surigao Del Sur),0
2023-12-07 04:20:00,8.42,126.61,12,1.7,030  km N 78° E of Hinatuan (Surigao Del Sur),0
2023-12-07 03:50:00,8.47,126.85,11,2.7,058  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-07 03:32:00,8.35,126.76,5,2.4,046  km S 88° E of Hinatuan (Surigao Del Sur),0
2023-12-07 02:20:00,8.48,126.74,9,2.7,047  km N 74° E of Hinatuan (Surigao Del Sur),0
2023-12-07 01:42:00,8.47,126.66,14,1.9,037  km N 73° E of Hinatuan (Surigao Del Sur),0
2023-12-07 00:59:00,8.43,126.69,10,2.6,040  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-07 00:54:00,8.46,126.87,1,3.0,060  km N 80° E of Hinatuan (Surigao Del Sur),0
2023-12-07 00:35:00,8.35,126.77,10,2.4,047  km S 87° E of Hinatuan (Surigao Del Sur),0
2023-12-07 00:21:00,8.36,126.79,14,2.3,050  km S 90° E of Hinatuan (Surigao Del Sur),0
2023-12-07 00:03:00,8.38,126.84,7,2.2,056  km N 88° E of Hinatuan (Surigao Del Sur),0
2023-12-06 23:55:00,8.41,126.81,4,3.2,052  km N 85° E of Hinatuan (Surigao Del Sur),0
2023-12-06 23:02:00,8.38,126.74,33,2.6,044  km N 88° E of Hinatuan (Surigao Del Sur),0
2023-12-06 21:52:00,8.39,126.74,20,2.4,044  km N 86° E of Hinatuan (Surigao Del Sur),0
2023-12-06 21:31:00,8.45,126.67,11,2.0,038  km N 75° E of Hinatuan (Surigao Del Sur),0
2023-12-06 21:10:00,8.49,126.79,32,1.7,051  km N 75° E of Hinatuan (Surigao Del Sur),0
2023-12-06 21:03:00,8.42,126.6,29,2.3,030  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-06 20:41:00,8.46,126.75,7,2.1,047  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-06 20:39:00,8.53,126.79,12,2.3,054  km N 70° E of Hinatuan (Surigao Del Sur),0
2023-12-06 20:22:00,8.49,126.9,6,2.2,064  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-06 19:16:00,8.5,126.66,9,2.0,038  km N 67° E of Hinatuan (Surigao Del Sur),0
2023-12-06 17:03:00,8.46,126.6,7,2.1,031  km N 71° E of Hinatuan (Surigao Del Sur),0
2023-12-06 16:32:00,8.39,126.86,17,2.1,058  km N 88° E of Hinatuan (Surigao Del Sur),0
2023-12-06 16:11:00,8.42,126.61,27,2.2,030  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-06 16:06:00,8.56,126.76,3,2.5,052  km N 66° E of Hinatuan (Surigao Del Sur),0
2023-12-06 15:34:00,8.4,126.83,5,3.1,055  km N 86° E of Hinatuan (Surigao Del Sur),0
2023-12-06 14:37:00,8.43,126.65,10,2.3,035  km N 78° E of Hinatuan (Surigao Del Sur),0
2023-12-06 14:09:00,8.33,126.85,23,2.8,056  km S 86° E of Hinatuan (Surigao Del Sur),0
2023-12-06 09:31:00,8.45,126.77,1,2.6,049  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-06 09:22:00,8.38,126.89,1,3.2,037  km S 82° E of Hinatuan (Surigao Del Sur),0
2023-12-06 08:34:00,8.4,126.74,4,3.1,044  km N 85° E of Hinatuan (Surigao Del Sur),0
2023-12-06 08:00:00,8.54,126.7,24,2.1,045  km N 64° E of Hinatuan (Surigao Del Sur),0
2023-12-06 07:05:00,8.44,126.58,17,2.9,028  km N 73° E of Hinatuan (Surigao Del Sur),0
2023-12-06 06:40:00,8.51,126.93,10,2.8,067  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-06 06:07:00,8.5,126.8,3,1.9,053  km N 74° E of Hinatuan (Surigao Del Sur),0
2023-12-06 06:03:00,8.42,126.9,19,2.5,062  km N 84° E of Hinatuan (Surigao Del Sur),0
2023-12-06 05:52:00,8.51,126.82,8,4.4,056  km N 73° E of Hinatuan (Surigao Del Sur),0
2023-12-06 04:27:00,8.43,126.8,4,3.2,051  km N 87° E of Hinatuan (Surigao Del Sur),0
2023-12-06 03:14:00,8.51,126.69,8,2.0,042  km N 69° E of Hinatuan (Surigao Del Sur),0
2023-12-06 03:07:00,8.47,126.73,7,1.7,045  km N 75° E of Hinatuan (Surigao Del Sur),0
2023-12-06 03:02:00,8.46,126.75,5,2.1,047  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-06 02:56:00,8.43,126.86,10,2.2,058  km N 83° E of Hinatuan (Surigao Del Sur),0
2023-12-06 01:56:00,8.5,126.97,21,3.4,072  km N 78° E of Hinatuan (Surigao Del Sur),0
2023-12-06 00:56:00,8.54,126.78,2,2.3,052  km N 69° E of Hinatuan (Surigao Del Sur),0
2023-12-06 00:40:00,8.35,126.91,9,3.6,046  km S 81° E of Hinatuan (Surigao Del Sur),0
2023-12-06 00:24:00,8.5,126.83,5,2.2,057  km N 74° E of Hinatuan (Surigao Del Sur),0
2023-12-06 00:08:00,8.35,126.78,16,2.1,048  km S 88° E of Hinatuan (Surigao Del Sur),0
2023-12-06 00:07:00,8.49,126.84,1,1.5,057  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-05 21:27:00,8.44,126.63,25,3.2,039  km N 86° E of Hinatuan (Surigao Del Sur),0
2023-12-05 21:04:00,8.39,126.86,14,3.1,057  km N 87° E of Hinatuan (Surigao Del Sur),0
2023-12-05 20:45:00,8.42,126.64,24,4.0,033  km N 80° E of Hinatuan (Surigao Del Sur),0
2023-12-05 20:42:00,8.52,126.77,5,4.1,051  km N 71° E of Hinatuan (Surigao Del Sur),0
2023-12-05 20:05:00,8.49,126.71,1,3.0,043  km N 72° E of Hinatuan (Surigao Del Sur),0
2023-12-05 19:41:00,8.5,126.79,7,2.9,052  km N 73° E of Hinatuan (Surigao Del Sur),0
2023-12-05 19:18:00,8.47,126.63,29,1.8,034  km N 71° E of Hinatuan (Surigao Del Sur),0
2023-12-05 17:55:00,8.43,126.91,9,3.9,063  km N 83° E of Hinatuan (Surigao Del Sur),0
2023-12-05 15:52:00,8.42,126.69,16,3.2,039  km N 81° E of Hinatuan (Surigao Del Sur),0
2023-12-05 15:20:00,8.44,126.77,9,3.3,048  km N 81° E of Hinatuan (Surigao Del Sur),0
2023-12-05 15:16:00,8.5,126.83,1,2.5,056  km N 75° E of Hinatuan (Surigao Del Sur),0
2023-12-05 15:06:00,8.5,126.97,1,3.7,071  km N 78° E of Hinatuan (Surigao Del Sur),0
2023-12-05 12:51:00,8.41,126.82,10,2.0,053  km N 85° E of Hinatuan (Surigao Del Sur),0
2023-12-05 12:02:00,8.44,126.73,7,2.5,044  km N 80° E of Hinatuan (Surigao Del Sur),0
2023-12-05 11:45:00,8.42,126.77,15,2.8,048  km N 83° E of Hinatuan (Surigao Del Sur),0
2023-12-05 11:16:00,8.51,126.69,10,2.0,042  km N 68° E of Hinatuan (Surigao Del Sur),0
2023-12-05 10:11:00,8.53,126.72,18,1.8,046  km N 67° E of Hinatuan (Surigao Del Sur),0
2023-12-05 09:24:00,8.4,126.87,10,3.1,058  km N 87° E of Hinatuan (Surigao Del Sur),0
2023-12-05 07:52:00,8.42,126.97,23,2.1,070  km N 85° E of Hinatuan (Surigao Del Sur),0
2023-12-05 07:11:00,8.32,126.92,12,3.5,064  km S 86° E of Hinatuan (Surigao Del Sur),0
2023-12-05 07:05:00,8.31,126.9,11,3.7,062  km S 84° E of Hinatuan (Surigao Del Sur),0
2023-12-05 07:02:00,8.46,126.7,7,2.6,041  km N 76° E of Hinatuan (Surigao Del Sur),0
2023-12-05 04:44:00,8.46,126.73,15,2.9,045  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-05 04:30:00,8.53,126.71,11,2.6,045  km N 66° E of Hinatuan (Surigao Del Sur),0
2023-12-05 04:27:00,8.45,126.64,24,3.0,035  km N 75° E of Hinatuan (Surigao Del Sur),0
2023-12-05 03:57:00,8.38,126.93,19,3.8,066  km N 89° E of Hinatuan (Surigao Del Sur),0
2023-12-05 03:12:00,8.37,126.87,21,2.9,059  km N 90° E of Hinatuan (Surigao Del Sur),0
2023-12-05 02:50:00,8.37,126.84,28,2.0,055  km N 89° E of Hinatuan (Surigao Del Sur),0
2023-12-05 02:45:00,8.39,126.71,13,2.3,041  km N 86° E of Hinatuan (Surigao Del Sur),0
2023-12-05 02:26:00,8.48,126.71,8,2.2,043  km N 73° E of Hinatuan (Surigao Del Sur),0
2023-12-05 02:24:00,8.49,126.75,15,2.7,047  km N 73° E of Hinatuan (Surigao Del Sur),0
2023-12-05 02:08:00,8.38,126.79,20,2.8,050  km N 88° E of Hinatuan (Surigao Del Sur),0
2023-12-05 01:06:00,8.51,126.81,11,3.0,054  km N 74° E of Hinatuan (Surigao Del Sur),0
2023-12-05 01:02:00,8.52,126.76,17,2.9,050  km N 71° E of Hinatuan (Surigao Del Sur),0
2023-12-05 00:52:00,8.33,126.76,10,1.6,046  km S 84° E of Hinatuan (Surigao Del Sur),0
2023-12-05 00:23:00,8.5,127.0,10,4.3,074  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-05 00:19:00,8.49,126.78,10,3.4,050  km N 74° E of Hinatuan (Surigao Del Sur),0
2023-12-05 00:11:00,8.43,126.77,19,3.0,048  km N 82° E of Hinatuan (Surigao Del Sur),0
2023-12-04 23:49:00,8.38,126.77,14,3.1,048  km N 88° E of Hinatuan (Surigao Del Sur),0
2023-12-04 23:41:00,8.42,126.7,3,2.0,041  km N 82° E of Hinatuan (Surigao Del Sur),0
2023-12-04 23:38:00,8.51,126.78,7,3.0,052  km N 72° E of Hinatuan (Surigao Del Sur),0
2023-12-04 23:35:00,8.44,126.78,4,2.9,049  km N 80° E of Hinatuan (Surigao Del Sur),0
2023-12-04 23:14:00,8.52,126.89,5,2.2,063  km N 74° E of Hinatuan (Surigao Del Sur),0
2023-12-04 23:07:00,8.55,126.76,13,2.2,051  km N 66° E of Hinatuan (Surigao Del Sur),0
2023-12-04 22:42:00,8.51,126.77,77,2.1,050  km N 72° E of Hinatuan (Surigao Del Sur),0
2023-12-04 22:34:00,8.52,126.79,25,2.1,053  km N 72° E of Hinatuan (Surigao Del Sur),0
2023-12-04 22:30:00,8.48,126.83,11,2.5,056  km N 78° E of Hinatuan (Surigao Del Sur),0
2023-12-04 21:58:00,8.32,126.76,7,2.2,047  km S 84° E of Hinatuan (Surigao Del Sur),0
